system:index,feature_name,.geo
0,NDVI,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,NDWI,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,LSWI,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,EVI,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,SAVI,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,NBR,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,NDMI,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Temperature,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,VCI,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,TCI,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Slope,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Aspect,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Precipitation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,WindSpeed,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,DEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
